time;VM;P11;P22;S
15.6;205.342995884;232.439959363;111.985933428;205.342995884
15.7;104.085633442;113.794717249;52.7155516726;104.085633442
15.8;42.4570864863;36.7149907508;-1.27729256353;42.4570864863
15.9;38.3649853002;25.8601579455;-13.2714855247;38.3649853002
16.0;73.8829307812;78.9820218094;32.6723813691;73.8829307812
16.1;175.024427574;198.237583021;94.1913532857;175.024427574
16.2;291.024347139;332.426388603;155.870661713;291.024347139
16.3;380.2066947;435.184906002;202.057060787;380.2066947
16.4;418.107334268;478.851654905;221.237901214;418.107334268
16.5;399.553088749;457.563852309;211.190554496;399.553088749
16.6;335.570700581;383.922464729;178.165639966;335.570700581
16.7;246.77474982;281.41446396;132.467035943;246.77474982
16.8;156.560535293;176.483361617;84.1442744445;156.560535293
16.9;85.251720553;91.2578593356;38.8783276482;85.251720553
17.0;54.0449912799;41.8645867432;-8.80781649358;54.0449912799
17.1;58.6928454685;20.2540701587;-44.5913932536;-58.6928454685
17.2;47.9582636502;18.236112359;-34.8032571293;-47.9582636502
17.3;64.077097713;69.1599057729;28.970407594;64.077097713
17.4;199.202161857;227.378346965;104.229134605;199.202161857
17.5;367.920321277;421.181297021;194.754336454;367.920321277
17.6;492.756495777;564.37435496;262.571095785;492.756495777
17.7;522.475654494;598.722926963;276.54296013;522.475654494
17.8;463.20787915;531.00842054;241.271407;463.20787915
17.9;359.13321455;411.485010286;186.326057945;359.13321455
18.0;246.070461798;280.724321436;131.695324049;246.070461798
18.1;135.412183168;149.25495839;71.377408282;135.412183168
18.2;58.8187503811;39.3019084159;-20.1315366782;58.8187503811
18.3;109.312862627;-26.2445916038;-119.742688254;-109.312862627
18.4;130.413004218;-46.9685242264;-147.176686589;-130.413004218
18.5;73.294314102;-9.32822087968;-77.2091923161;-73.294314102
18.6;86.0737319742;91.2739429674;36.5714580821;86.0737319742
18.7;211.323671842;239.083966893;115.576480877;211.323671842
18.8;319.619035953;365.455468537;170.425667547;319.619035953
18.9;408.487504481;468.275169789;210.63230127;408.487504481
19.0;484.877266544;556.102700472;248.429714872;484.877266544
19.1;533.256477017;611.507844184;277.286094066;533.256477017
19.2;520.101036168;596.082698018;274.43834311;520.101036168
19.3;427.326112901;489.314371079;227.105061824;427.326112901
19.4;277.166504737;316.594253838;148.002136864;277.166504737
19.5;120.956014088;135.347461865;63.6511883749;120.956014088
19.6;47.5077042228;21.6216814382;-30.6806769477;-47.5077042228
19.7;104.234745939;-17.9029861919;-111.688943958;-104.234745939
19.8;118.396974724;-27.3456998208;-129.3496159;-118.396974724
19.9;78.3303749657;-6.63715893118;-81.1140034012;-78.3303749657
20.0;57.6524608914;58.5566530088;15.7594174967;57.6524608914
20.1;181.824948381;206.307353785;97.6675333121;181.824948381
20.2;327.191261249;374.266693776;173.861154384;327.191261249
20.3;444.356632609;509.139431659;233.896075504;444.356632609
20.4;500.725669745;573.964944086;262.750419842;500.725669745
20.5;480.812312438;551.022528463;253.042119758;480.812312438
20.6;390.11269177;446.597029577;207.104932792;390.11269177
